imagen,alt,enlace,orden,activo
/img/banners/acuerdo.png,Acuerdo Marco para la mejora del empleo público,https://fe.ccoo.es/noticia:745184--CCOO_consigue_desbloquear_los_incumplimientos_del_Acuerdo_Marco_para_una_Administracion_del_Siglo_XXI_y_avanzar_en_los_objetivos_del_nuevo_acuerdo&opc_id=47f1a7f7b697fcab51411df7658fc30f,1,si
/img/banners/rumbo.png,Afíliate a FECCOOEx,https://cloud.info.ccoo.es/MarcaElRumboAENC,2,si
/img/banners/unete.png,Contacta con FECCOOEx,https://afiliate.ccoo.es/afiliate.htm,3,si
